Designator,Mid X,Mid Y,Rotation,Layer
_2,185.236043,-78.592376,0.0,top
,184.011043,-92.222376,0.0,top
J1,187.609243,-78.983576,355.0,top
RSW1,172.936043,-116.642376,265.0,top
SW1,179.636043,-118.042376,265.0,top
SWr1c1,156.406643,-65.494776,355.0,top
SWr1c2,138.722043,-61.103376,355.0,top
SWr1c3,116.477143,-55.242676,0.0,top
SWr1c4,94.394543,-62.650676,5.0,top
SWr1c5,72.652943,-85.273876,15.0,top
SWr2c1,154.924943,-82.430076,355.0,top
SWr2c2,137.240443,-78.038776,355.0,top
SWr2c3,116.477143,-72.242676,0.0,top
SWr2c4,95.876143,-79.585976,5.0,top
SWr2c5,77.052943,-101.694576,15.0,top
SWr3c1,153.443343,-99.365376,355.0,top
SWr3c2,135.758743,-94.974076,355.0,top
SWr3c3,116.477143,-89.242676,0.0,top
SWr3c4,97.357843,-96.521276,5.0,top
SWr3c5,81.452843,-118.115376,15.0,top
SWr4c1,169.103743,-131.552076,330.0,top
SWr4c2,151.351543,-123.274076,340.0,top
U1,173.116043,-95.652376,5.0,bottom
