Designator,Mid X,Mid Y,Rotation,Layer
J1,238.8832,-169.1812,-5.0,top
RSW1,187.2152,-212.5174,-20.0,top
SW1,230.91,-208.24,-95.0,top
SWr1c1,207.6806,-155.6924,-5.0,top
SWr1c2,189.996,-151.301,-5.0,top
SWr1c3,167.7511,-145.4403,0.0,top
SWr1c4,145.6685,-152.8483,5.0,top
SWr1c5,123.9269,-175.4715,15.0,top
SWr2c1,206.1989,-172.6277,-5.0,top
SWr2c2,188.5144,-168.2364,-5.0,top
SWr2c3,167.7511,-162.4403,0.0,top
SWr2c4,147.1501,-169.7836,5.0,top
SWr2c5,128.3269,-191.8922,15.0,top
SWr3c1,204.7173,-189.563,-5.0,top
SWr3c2,187.0327,-185.1717,-5.0,top
SWr3c3,167.7511,-179.4403,0.0,top
SWr3c4,148.6318,-186.7189,5.0,top
SWr3c5,132.7268,-208.313,15.0,top
SWr4c1,220.3777,-221.7497,-30.0,top
SWr4c2,202.6255,-213.4717,-20.0,top
U,224.39,-185.85,175.0,bottom
